GENES	SRR17478179	SRR17478168
TRIM34	10.1325716710792	45.4453422459501
TRIM35	36.8296338307203	8.05902997639607
TRIM36	0.214594093906555	2.73756567276415
TRIM37	16.5351055115061	34.3064062266105
TRIM38	7.72654985730315	10.3874052383201
TRIM39	15.0055597149117	14.1434839962031
TRIM39-RPP21	0.704235574136659	0
TRIM4	11.0818284900274	22.3505424408855
TRIM40	0.648918806528144	0.977176294029408
TRIM41	9.0350795522634	16.8105160992156
TRIM42	0	0
TRIM43	0	0
TRIM44	10.3146374450144	39.030340546117
TRIM45	0.403477481097941	0.79014554232439
TRIM46	4.12136277166011	1.29415535456514
TRIM47	1.34092584704181	0.401026980672394
TRIM48	0	0
TRIM49	0	0
TRIM49B	0	0
TRIM49C	0	0
TRIM49D1	0	0
TRIM5	15.8888396749843	18.1348874062408
TRIM50	0	0
TRIM51	0	0
TRIM52	12.7372298079753	58.9322704520592
TRIM54	0	0.0453921720900129
TRIM55	0	0
TRIM56	10.8985221402174	1.90945847068288
TRIM58	977.276411587657	6.16521457532167
TRIM59	1.28138120886725	0.353999816111854
TRIM6	1.212473677226	3.32028426132014
TRIM6-TRIM34	0	0
TRIM60	0.126885830130786	0
TRIM61	0.612449480387937	0.420112068285792
TRIM62	6.0589365267185	5.68087366416207
TRIM63	0	0
TRIM64B	0	0
TRIM64C	0	0
TRIM65	5.29750484769472	6.33481502653998
TRIM66	6.36451199215379	21.4581163092156
TRIM67	0.612610635099033	0
TRIM68	6.47549967723919	7.38738603186278
TRIM69	4.18362586302278	1.32899612018056
TRIM7	2.15332281609294	0.395663836339149
TRIM71	0.249053867358532	0.00949315892085773
TRIM72	0.842624366213547	0
TRIM73	8.64348862337739	5.72158499024547
TRIM74	2.35638826542935	3.06321964978528
TRIM77	0	0
TRIM8	44.1360399892152	24.8882485660326
TRIM9	0.263505224582858	0.10333421045803
TRIML1	0	0
TRIML2	4.4901937891579	0
TRIO	36.6681937571345	81.5433789471549
TRIOBP	47.4063406764237	236.239694393282
TRIP10	6.22709933397668	5.89741010784399
TRIP11	7.29281389255434	102.988049542836
TRIP12	209.763693961397	330.632683082473
TRIP13	0.46126593543285	0.725077034285794
TRIP4	13.7950084797192	31.5060891873649
TRIP6	7.13750610867409	1.79229771324419
TRIQK	7.02332356523412	15.6228026754247
TRIT1	16.2276072984366	32.2166899378066
TRMT1	16.0564446296758	37.7519951386592
TRMT10A	1.31302490512159	2.63475149600785
TRMT10B	14.3808937161634	21.9654244484377
TRMT10C	1.39024699855809	6.63452023085238
TRMT11	9.11337656114008	16.1579368913812
TRMT112	21.3544410518062	31.9960740854777
TRMT12	6.73123553257226	6.39835465177623
TRMT13	18.6438608645832	18.239618367797
TRMT1L	3.07510523494711	48.4203759563181
TRMT2A	32.6560937294069	37.0175578369242
TRMT2B	10.9355411646266	26.4935341283076
TRMT44	14.8392759885459	6.36832484234743
TRMT5	1.41558718761325	5.69478826276611
TRMT6	21.401195442826	20.9661887128051
TRMT61A	3.01333777317122	0.371549359390224
TRMT61B	5.74039539129297	12.1176942577891
TRMU	11.9826923400379	23.2006691832103
TRNAU1AP	2.82368586274257	29.3352259334492
TRNP1	1.8725997200468	0
TRNT1	28.1652551712139	41.0612152861322
TRO	0.401432930953253	1.54445233732108
TROAP	2.49532375195954	0.486955460981153
TROVE2	24.9242281696902	34.3178882125686
TRPA1	0.691945161910708	0.307607871429084
TRPC1	1.07953515850511	2.49462283214288
TRPC3	0.227528524213756	0
TRPC4	0	0
TRPC4AP	24.8597287375556	39.8218554472086
TRPC5	0.0679407535654501	0.0428289065729877
TRPC6	0	0.92881143129765
TRPC7	0	0
TRPM1	0.314334291569228	0
TRPM2	8.16693777186972	5.92694878186964
TRPM3	0.289872718599721	0.0179977097606504
TRPM4	4.31806914320731	1.45658414351542
TRPM5	0.0571005120577702	0.0478359099025708
TRPM6	2.16426912631969	0.64394191340625
TRPM7	19.4078002791253	39.2279506393185
TRPM8	0.112776907893692	0
TRPS1	99.2649908534712	145.16026887239
TRPT1	8.14684595682047	5.36971672891782
TRPV1	0.954725265389024	2.19966793829191
TRPV2	14.8224936703559	20.8467373921036
TRPV3	0.935064246452103	0.450774095154112
TRPV4	1.19731191759396	1.34111442360906
TRPV5	0	0.501513826847049
TRPV6	0.270009987432427	2.5843811239159
TRRAP	10.9606425819474	20.3464317854828
TRUB1	6.68611972300445	19.4299270758772
TRUB2	2.34564061293535	6.20581464973917
TSACC	0	0.321217477661225
TSC1	10.2782914165831	39.5502201235864
TSC2	19.8184759509181	68.7753241110951
TSC22D1	54.4517768307676	15.4542204482949
TSC22D2	20.5436331012484	36.0134667122749
TSC22D3	469.05585078187	130.058854998254
TSC22D4	35.6732398902849	37.1673852717828
TSEN15	15.6292209373158	7.23242195834926
TSEN2	5.59214657425478	21.4763621251152
TSEN34	13.484567133268	25.6370547666195
TSEN54	12.5195312705661	59.8077315187151
TSFM	4.27754917162603	16.8065341036128
TSG101	20.5138397554514	135.684536982305
TSGA10	3.34223981982227	3.1683246611499
TSGA13	0	0.204754620916952
TSHB	0	2.25262915817366
TSHR	0.431911146724739	2.71174528040768
TSHZ1	7.40572882577842	4.92181969274479
TSHZ2	5.25442157000506	2.69288537566317
TSHZ3	4.23818867289625	1.06753842457004
TSKS	2.11243037136765	0.82335729863814
TSKU	2.13921239194801	0
TSLP	0	0
TSN	26.9414435917133	87.8806865537022
TSNARE1	12.0599324528342	3.13401641113044
TSNAX	24.7621542909964	25.8021918552708
TSNAXIP1	0.511716521643859	0.595989826916466
TSPAN1	0	0.602526811997782
TSPAN11	0	0
TSPAN12	0	0
TSPAN13	3.70188742184011	2.83986157956464
TSPAN14	55.0020112808437	145.108517717884
TSPAN15	1.81142250805153	0.83595180125527
TSPAN16	0	2.0798363268349
TSPAN17	5.82420335060233	13.1714637054021
TSPAN18	16.1077933567744	16.4391390442348
TSPAN19	3.11704811401481	0
TSPAN2	1.85762269507892	20.6172672638963
TSPAN3	24.6467547764863	18.0538158751854
TSPAN31	5.26519175111665	24.8799055051262
TSPAN32	51.674145469992	32.8421687825173
TSPAN33	16.8903609342404	6.2679188571397
TSPAN4	4.01272827577644	9.89386015122544
TSPAN5	50.4136272629127	4.15454435888983
TSPAN6	0.464514562088038	0.0403365979111685
TSPAN7	1805.24816492649	0
TSPAN8	0	0
TSPAN9	2.37077954634012	11.3457392989824
TSPEAR	0	0
TSPO	51.1288432852583	31.3288897046741
TSPO2	2.11542817941377	3.46268639367972
TSPY1	0	0
TSPY10	0.065658003841354	0
TSPY2	0	0
TSPY3	0.065658003841354	0
TSPY4	4.80778722073719e-06	0
TSPY6P	2.95820273641119e-08	0.109453459101146
TSPY8	0.065658003841354	0
TSPYL1	34.900283021079	24.4580003856007
TSPYL2	22.7443441134692	57.0435509199744
TSPYL4	1.87040092697089	1.697890363593
TSPYL5	0.356177443956435	0.862555873410749
TSPYL6	0.789237550177808	0.278210568422787
TSR1	10.8183142539975	8.66154050766225
TSR2	8.66342494802879	4.68168717774252
TSR3	22.2764622740067	4.67360108104984
TSSC4	9.69831304240255	1.22542720398239
TSSK1B	0	0
TSSK2	0	0
TSSK3	0	0.142142997381679
TSSK4	7.62105585071028	15.2462796882046
TSSK6	0.146848137787789	0.126343904095404
TST	3.44394976961545	2.02809073491232
TSTA3	30.3030377468994	11.4091269707237
TSTD1	17.2556114034506	26.1351843720588
TSTD2	4.41803763086147	5.32610159868151
TTBK1	0.0569892921777329	0
TTBK2	13.2925001550347	65.9715730856721
TTC1	25.4596057474255	47.0159037211861
TTC12	10.4950673409317	29.6527531119486
TTC13	38.7997238904873	80.8978224328944
TTC14	69.4892773193041	154.320200426906
TTC16	1.08384653514699	6.74427461214252
TTC17	59.7568326703123	79.6896659728022
TTC19	69.4169157000153	56.5861749705206
TTC21A	6.25425051255038	10.0060820510501
TTC21B	5.52951683104376	74.7577276696977
TTC22	1.26116402745001	1.22630296352912
TTC23	0.800198110123212	0.484086931746703
TTC23L	0	0.416200622519856
TTC24	1.32867629589213	1.88764636052715
TTC26	1.48113495141924	2.21463101601073
TTC27	5.94296671295044	21.3742955052847
TTC28	0.681259388019664	0.677043720512622
TTC29	0	0
TTC3	44.136003943427	107.836458467106
TTC30A	0.259724922552757	0.19176124037572
TTC30B	0.308461831919767	1.83858301913501
TTC31	22.9112316067861	29.2927386508942
TTC32	21.4761586668731	5.96704822379056
TTC33	15.0630407317158	10.7931075024158
TTC34	0.469203518360574	0.00935115023951171
TTC36	0.267288530428636	1.01229247535432
TTC37	28.901766744805	96.6065644424489
TTC38	8.82934971842107	26.3608285283411
TTC39A	1.71352965703051	1.35896487686588
TTC39B	8.16815732103477	18.1601409917104
TTC39C	23.8788732795882	24.7955152826078
TTC4	7.48141379163735	17.6003357691298
TTC5	6.59112855792786	11.926470281556
TTC6	1.00405242453666	0
TTC7A	38.06185459221	78.8498624217968
TTC7B	12.9594866356751	13.9797627749424
TTC8	2.09844235271158	9.0467849471255
TTC9	3.35644861893064	1.54011650715154
TTC9B	0.26690254011408	0.123316366382367
TTC9C	3.19826918726272	24.5104921777214
TTF1	4.46278397110096	18.8276254806664
TTF2	7.82274855628208	18.2946038253072
TTI1	2.959955462859	9.252769305969
TTI2	4.78752648399263	12.5947805712772
TTK	0.398774403887905	0.686414638273747
TTL	13.1035361183962	3.06621801785421
TTLL1	1.42284140247435	6.70391277909738
TTLL10	0	2.58036028520091
TTLL11	1.74313676625553	3.07966183196959
TTLL12	9.50016784314584	2.89334649631273
TTLL2	0	0.0855815650530009
TTLL3	30.6835668677269	41.5689130775305
TTLL4	7.23181240377621	69.7662073158625
TTLL5	14.2955830980614	63.3455941905393
TTLL6	0	0
TTLL7	2.18185906502894	1.06542226864447
